,predictions,name,GW,team,value,position,opponent_team
0,4.06,Alex McCarthy,4,Southampton,45,GK,18
1,3.65,Emiliano Martínez,4,Aston Villa,46,GK,11
2,3.45,Kasper Schmeichel,4,Leicester,55,GK,19
3,3.33,Illan Meslier,4,Leeds,45,GK,12
4,3.14,Rui Pedro dos Santos Patrício,4,Wolves,55,GK,8
5,3.14,Bernd Leno,4,Arsenal,50,GK,15
6,3.04,Jordan Pickford,4,Everton,50,GK,3
7,2.93,Mathew Ryan,4,Brighton,45,GK,7
8,2.9,Lukasz Fabianski,4,West Ham,50,GK,9
9,2.87,Alisson Ramses Becker,4,Liverpool,60,GK,2
10,2.87,Karl Darlow,4,Newcastle,50,GK,4
11,2.72,Hugo Lloris,4,Spurs,55,GK,13
12,2.71,Willy Caballero,4,Chelsea,49,GK,6
13,2.51,Aaron Ramsdale,4,Sheffield Utd,50,GK,1
14,2.47,Sam Johnstone,4,West Brom,45,GK,16
15,2.4,Alphonse Areola,4,Fulham,45,GK,20
16,2.14,Vicente Guaita,4,Crystal Palace,50,GK,5
17,1.58,Fraser Forster,4,Southampton,40,GK,18
18,1.56,Angus Gunn,4,Southampton,45,GK,18
19,1.56,Danny Ward,4,Leicester,45,GK,19
20,1.55,João Virgínia,4,Everton,45,GK,3
21,1.55,Jonas Lössl,4,Everton,45,GK,3
22,1.44,Matt Macey,4,Arsenal,40,GK,15
23,1.44,John Ruddy,4,Wolves,45,GK,8
24,1.43,Mark Gillespie,4,Newcastle,45,GK,4
25,1.43,Martin Dubravka,4,Newcastle,49,GK,4
26,1.43,Matija Sarkic,4,Wolves,45,GK,8
27,1.32,Joe Hart,4,Spurs,45,GK,13
28,1.31,Paulo Gazzaniga,4,Spurs,45,GK,13
29,1.24,Kepa Arrizabalaga,4,Chelsea,49,GK,6
30,1.2,Francisco Casilla Cortés,4,Leeds,44,GK,12
31,1.2,Kamil Miazek,4,Leeds,40,GK,12
32,1.04,Adrián San Miguel del Castillo,4,Liverpool,45,GK,2
33,1.04,Wayne Hennessey,4,Crystal Palace,45,GK,5
34,0.9,Simon Moore,4,Sheffield Utd,45,GK,1
35,0.9,Wes Foderingham,4,Sheffield Utd,45,GK,1
36,0.9,Fabricio Agosto Ramírez,4,Fulham,40,GK,20
37,0.9,Marcus Bettinelli,4,Fulham,44,GK,20
38,0.84,David Martin,4,West Ham,40,GK,9
